iso3,ctr,chamber,MAL2,MRB,TRB,DM
ALB,Albania,lower,0.016785769,0.00086927414,0.034436464,11.666667
ARG,Argentina,lower,0.13877995,-0.010407209,-0.08734051,5.375
ARG,Argentina,upper,0.45290512,0.030214787,0.035737276,3.0
AUS,Australia,lower,0.029427446,0.0004477501,0.3107252,1.0
AUS,Australia,upper,0.3952684,-0.059581358,0.086815275,2.0
AUT,Austria,lower,0.036215894,-0.005179882,-0.03271103,16.933332
BEL,Belgium,lower,0.03142924,-0.0240736,0.01856308,13.636365
BEN,Benin,lower,0.052464377,,,4.0625
BFA,Burkina_Faso,lower,0.14209668,,,2.5516908
BGD,Bangladesh,lower,0.09850904,,,1.0
BGR,Bulgaria,lower,0.022833038,0.0046503544,-0.034263134,7.741935
BIH,Bosnia_and_Herzegovina,lower,0.22797175,,,4.2
BOL,Bolivia,lower,0.30324575,-0.030940294,-0.20437479,1.5116279
BOL,Bolivia,upper,0.3885063,0.17759681,-0.03329408,3.5
BRA,Brazil,lower,0.09827797,0.005356312,0.040824175,19.0
BRA,Brazil,upper,0.40161714,0.024957657,0.19826595,1.5
BRB,Barbados,lower,0.040905,,,1.0
BTN,Bhutan,lower,0.13976228,,,1.0
BTN,Bhutan,upper,0.18325432,,,1.0
BWA,Botswana,lower,0.087305434,-0.0024471283,-0.1864295,1.0
CAN,Canada,lower,0.06516499,-0.009135723,0.03853941,1.0
CHE,Switzerland,lower,0.029865874,0.011193752,0.28534555,7.6923075
CHL,Chile,lower,0.15256661,-0.005611658,0.17073417,2.0
CHL,Chile,upper,0.2790354,-0.06327355,7.164478e-05,2.0
CIV,Côte_d'Ivoire,lower,0.2566927,,,1.2449878
COL,Colombia,lower,0.13792855,-0.0041823387,0.02414608,4.611111
COM,Comoros,lower,0.17128538,0.075912476,0.32447863,1.0
CPV,Cabo_Verde,lower,0.06735979,-0.0037224293,-0.07632208,5.5384617
CRI,Costa_Rica,lower,0.021717701,0.0004105568,-0.031904697,8.142858
CYP,Cyprus,lower,0.016067283,0.00029349327,-0.049622178,9.333333
CZE,Czechia,lower,0.025559584,0.009526389,-0.0145809995,17.364796
CZE,Czechia,upper,0.033591498,-0.002450413,0.4754316,1.0
DEU,Germany,lower,0.0764343,0.005441761,0.028739262,1.9572074
DNK,Denmark,lower,0.057206456,0.007743597,0.0047106743,10.85003
DOM,Dominican_Rep,lower,0.084313065,-0.0018877983,0.027217865,5.359375
DOM,Dominican_Rep,upper,0.39675134,0.030369759,0.07666111,1.0
ECU,Ecuador,lower,0.14363983,0.0074005127,-0.5159006,3.9142857
ESP,Spain,lower,0.09740379,0.03305276,0.12960131,6.730769
ESP,Spain,upper,0.35238713,0.109185934,0.5318158,3.5254238
EST,Estonia,lower,0.056343865,0.013285875,0.13667297,7.479167
FIN,Finland,lower,0.019092044,-0.00026988983,0.06008034,13.743589
FRA,France,lower,0.073298246,-0.009273827,0.41746575,1.0
GBR,UK,lower,0.045043156,-0.025580645,0.093119144,1.0
GEO,Georgia,lower,0.017084463,0.0075445175,-0.6681924,2.0270271
GHA,Ghana,lower,0.17981797,-0.07163501,0.02717042,1.0
GMB,Gambia,lower,0.2621249,,,1.0
GNB,Guinea_Bissau,lower,0.124704495,0.014467716,-0.3013718,3.5172415
GRC,Greece,lower,0.044234,-0.007171684,0.111432925,5.1468253
GTM,Guatemala,lower,0.038100954,0.02460146,-0.23251724,6.5416665
GUY,Guyana,lower,0.22004919,,,2.5
HND,Honduras,lower,0.06993815,0.0066435337,-0.26949,7.111111
HRV,Croatia,lower,0.08006003,0.004144589,0.024628082,9.023897
HUN,Hungary,lower,0.0735366,0.016259575,0.004977894,1.6627789
IND,India,lower,0.061659202,-0.066616535,0.6036892,1.0
IRL,Ireland,lower,0.034642704,-0.014970398,0.18586206,3.929418
ISL,Iceland,lower,0.09340379,-0.024291277,0.08299279,10.5
ITA,Italy,lower,0.029326105,0.0035554885,0.012863731,15.962415
ITA,Italy,upper,0.06396823,,,8.412848
JAM,Jamaica,lower,0.07916445,,,1.0
JPN,Japan,lower,0.06948619,0.01292038,0.33336177,1.5463681
JPN,Japan,upper,0.18224068,0.0734025,0.5105885,1.5531915
KEN,Kenya,lower,0.17502685,,,1.0
KOR,Korea,lower,0.08372881,0.00013160706,0.15627337,1.2145749
LKA,Sri_Lanka,lower,0.21298409,,,9.34585
LSO,Lesotho,lower,0.03610156,0.0012847582,-0.012751579,1.4814814
LTU,Lithuania,lower,0.021563819,-0.0034339428,0.22889662,1.9583334
LVA,Latvia,lower,0.006850897,0.0017127991,0.01810503,20.0
MEX,Mexico,lower,0.13048644,-0.0017447472,0.1032629,1.646606
MEX,Mexico,upper,0.22434175,0.010208289,0.11083841,3.878788
MKD,Macedonia,lower,0.024882644,0.019849539,0.055241346,13.666667
MLT,Malta,lower,0.012512033,-0.0004649957,-0.00029261908,5.0
MNG,Mongolia,lower,0.15426819,0.0020709038,0.045186043,1.8461539
MOZ,Mozambique,lower,0.024932737,,,22.545454
MUS,Mauritius,lower,0.08104432,-0.0014371872,0.077943325,2.952381
MYS,Malaysia,lower,0.17468487,0.0048463345,-0.02218771,1.0
NOR,Norway,lower,0.036575403,-0.014689684,0.14840126,8.894737
NZL,New_Zealand,lower,0.007272295,-0.00014209747,0.026639462,1.6805556
PAK,Pakistan,lower,0.0818353,,,1.0
PER,Peru,lower,0.059166744,-0.017489433,-0.12078142,5.0
POL,Poland,lower,0.017519431,-0.009454529,0.010823051,10.602798
POL,Poland,upper,0.09283322,-0.009783745,0.031552315,1.0
PRT,Portugal,lower,0.018054878,0.0009978295,0.12898389,11.3
PRY,Paraguay,lower,0.055474415,-0.0013446808,0.06333017,4.4444447
ROU,Romania,lower,0.040741917,0.009091437,-0.017780066,6.022287
ROU,Romania,upper,0.04770993,-0.002541542,0.08245921,3.4880953
RUS,Russian,lower,0.029779537,,,1.9911505
SEN,Senegal,lower,0.20714244,,,3.2608695
SLB,Solomon_Islands,lower,0.1675086,,,1.0
SLV,Salvador,lower,0.03468595,0.00665164,0.014838457,6.0
SVN,Slovenia,lower,0.09688902,-0.009266019,0.3985306,1.0
SWE,Sweden,lower,0.03233781,-0.005004215,0.012631893,12.034483
