iso3,chamber,year,MAL2,MRB,TRB,DM
ALB,lower,2013,0.019765163,0.002523899,0.00202322,11.666667
ALB,lower,2017,0.013806375,-0.0007853508,0.06684971,11.666667
ARG,lower,2011,0.1393129,-0.0066227913,-0.21204662,5.4166665
ARG,lower,2013,0.14216538,-0.035321236,-0.057937622,5.2916665
ARG,lower,2015,0.13486162,0.010722399,0.007962704,5.4166665
ARG,upper,2001,0.4865922,0.06049919,0.13875628,3.0
ARG,upper,2003,0.47409564,-6.9618225e-05,-0.06728172,3.0
ARG,upper,2009,0.5283445,,,3.0
ARG,upper,2015,0.3225881,,,3.0
AUS,lower,2010,0.029427446,0.0004477501,0.3107252,1.0
AUS,upper,2001,0.39607835,-0.078116894,0.06546354,2.0
AUS,upper,2004,0.39719194,-0.047082424,0.18287563,2.0
AUS,upper,2007,0.39812893,-0.03720665,0.119167805,2.0
AUS,upper,2010,0.39820433,-0.058894157,0.060655594,2.0
AUS,upper,2013,0.38345942,-0.06892109,0.15035105,2.0
AUS,upper,2016,0.3985474,-0.06726694,-0.057621956,2.0
AUT,lower,1999,0.028086992,-0.00034809113,-0.025007725,17.222221
AUT,lower,2002,0.026356079,-0.0005168915,0.034861565,17.88889
AUT,lower,2006,0.037545905,-0.007293701,-0.019838333,17.0
AUT,lower,2008,0.0382799,-0.013582706,0.06628275,16.555555
AUT,lower,2013,0.050810598,-0.00415802,-0.2198534,16.0
BEL,lower,1999,0.027977679,-0.014629841,0.004301548,13.636364
BEL,lower,2003,0.032334454,-0.008565426,0.050043106,13.636364
BEL,lower,2007,0.03157136,-0.027269363,-0.052298546,13.636364
BEL,lower,2010,0.032504298,-0.0356946,-0.01510334,13.636364
BEL,lower,2014,0.032758407,-0.034208775,0.10587263,13.636364
BEN,lower,1995,0.049855556,,,4.6666665
BEN,lower,1999,0.055073198,,,3.4583333
BFA,lower,2007,0.090631194,,,2.1333334
BFA,lower,2012,0.1693356,,,2.7608695
BFA,lower,2015,0.16632327,,,2.7608695
BGD,lower,1996,0.09763842,,,1.0
BGD,lower,2001,0.09937967,,,1.0
BGR,lower,2001,0.02194377,-0.0027680397,0.007927418,7.7419353
BGR,lower,2005,0.021760106,-0.0038294792,0.000620842,7.7419353
BGR,lower,2013,0.034174915,0.0105781555,-0.15930033,7.7419353
BGR,lower,2014,0.036286395,0.014620781,0.02454853,7.7419353
BGR,lower,2017,0.0,,-0.045112133,7.7419353
BIH,lower,2018,0.22797175,,,4.2
BOL,lower,2009,0.30324575,-0.030940294,-0.20437479,1.5116279
BOL,upper,2002,0.38177705,0.13772249,-0.2482481,3.0
BOL,upper,2005,0.38645598,0.31835794,0.44407892,3.0
BOL,upper,2009,0.39217064,0.1931119,-0.07439375,4.0
BOL,upper,2014,0.39362153,0.061194897,-0.2546134,4.0
BRA,lower,2010,0.09658695,0.029776573,0.061036587,19.0
BRA,lower,2014,0.099969,-0.01906395,0.020611763,19.0
BRA,upper,1998,0.41741776,0.08003092,0.2963109,1.0
BRA,upper,2002,0.40983978,-0.017988682,0.016104698,2.0
BRA,upper,2006,0.40137565,-0.06570053,0.26769066,1.0
BRA,upper,2010,0.3956269,0.034352303,-0.024804115,2.0
BRA,upper,2014,0.39478672,-0.015795708,0.14614582,1.0
BRA,upper,2018,0.39065596,0.13484764,0.48814774,2.0
BRB,lower,1999,0.05522816,,,1.0
BRB,lower,2003,0.026581839,,,1.0
BTN,lower,2013,0.13928455,,,1.0
BTN,lower,2018,0.14024001,,,1.0
BTN,upper,2007,0.15601522,,,1.0
BTN,upper,2013,0.21049342,,,1.0
BWA,lower,2014,0.087305434,-0.0024471283,-0.1864295,1.0
CAN,lower,2015,0.06516499,-0.009135723,0.03853941,1.0
CHE,lower,2015,0.029865874,0.011193752,0.28534555,7.6923075
CHL,lower,2009,0.14408535,0.015972137,0.20884848,2.0
CHL,lower,2013,0.16104788,-0.027195454,0.13261986,2.0
CHL,upper,2001,0.2179591,-0.06541777,-0.0639019,2.0
CHL,upper,2005,0.3336106,-0.07597351,0.037832737,2.0
CHL,upper,2009,0.21934544,-0.06747675,-0.05097437,2.0
CHL,upper,2013,0.3452264,-0.04422617,0.07733011,2.0
CIV,lower,2011,0.26728335,,,1.2460732
CIV,lower,2016,0.24610204,,,1.2439024
COL,lower,2014,0.13792855,-0.0041823387,0.02414608,4.611111
COM,lower,2015,0.17128538,0.075912476,0.32447863,1.0
CPV,lower,2011,0.05902026,-0.0029320717,-0.1086936,5.5384617
CPV,lower,2016,0.07569932,-0.004512787,-0.043950558,5.5384617
CRI,lower,2010,0.021886647,0.0012364388,-0.019389153,8.142858
CRI,lower,2014,0.021548755,-0.00041532516,-0.044420242,8.142858
CYP,lower,2001,0.014876403,-0.00019741058,-0.02966547,9.333333
CYP,lower,2006,0.019517746,0.0030999184,-0.011394501,9.333333
CYP,lower,2011,0.015123587,-0.0011572838,-0.14247942,9.333333
CYP,lower,2016,0.014751397,-0.0005712509,-0.014949322,9.333333
CZE,lower,1996,0.030398827,-0.0029907227,0.0054502487,25.125
CZE,lower,1998,0.02120312,-0.005959034,0.0027246475,25.0
CZE,lower,2002,0.024645317,0.01377821,0.007347107,14.285714
CZE,lower,2006,0.02246135,0.012486458,0.0049476624,14.285714
CZE,lower,2010,0.026481321,0.024237633,0.051798344,14.285714
CZE,lower,2013,0.026379647,0.017103195,-0.11868429,14.285714
CZE,lower,2017,0.027347501,0.008028984,-0.05565071,14.285714
CZE,upper,2000,0.026304698,-0.004533291,2.2167592,1.0
CZE,upper,2002,0.027703492,0.0008883476,0.39994478,1.0
CZE,upper,2004,0.034136355,-0.00683403,1.6651707,1.0
CZE,upper,2006,0.030209636,-0.0010681152,1.0177097,1.0
CZE,upper,2008,0.030624107,-0.006385803,-1.0092587,1.0
CZE,upper,2010,0.038105585,-0.0014462471,-0.043902397,1.0
CZE,upper,2012,0.034568604,-0.0100364685,-0.31245422,1.0
CZE,upper,2014,0.03195146,0.006851673,-0.3213477,1.0
CZE,upper,2016,0.047108732,0.00051021576,0.6662631,1.0
CZE,upper,2020,0.035202287,,,1.0
DEU,lower,1998,0.07515053,-0.0041251183,-0.0036597252,1.9447675
DEU,lower,2002,0.10781915,0.026040077,0.16162968,1.9142857
DEU,lower,2005,0.059979945,-0.0018162727,0.048220158,1.9492064
DEU,lower,2009,0.07817093,0.009709835,0.12224817,1.9746032
DEU,lower,2013,0.06105093,-0.0025997162,-0.18474197,2.0031745
